NumberOfVehicles,CrashDate,CrashTime,DayOfWeek,TypeOfCollision,LocationOfFirstHarmfulEvent,RoadwaySurfaceType,RoadwayDefect,LightCondition_Category,LightCondition_Value,RoadwayDescription,WorkZoneLocation,WeatherCondition,RoadwayAlignment,WorkZoneWorkersPresent,SchoolZone,IntersectionType,WorkZoneType,TrafficControlType,RoadwaySurfaceCondition,RelationToRoadway_Category,RelationToRoadway_Value,TrafficControlMechanicalDevice,WorkZoneRelated,Year,Meteorological Season,MonthName,DaytimeNighttime_NHTSA,ThreeHourLabel,Hour,CrashType,AlcoholInvolved,SpeedRelated,CommercialMotorVehiclesInvolved,PedestrianInvolved,BicycleInvolved,MotorcycleInvolved,MopedInvolved,TrainRelated,SchoolZoneInvolved,TeenDriverInvolved,DistractedDriverInvolved,DriverTextingInvolved,DriverUsingCellPhone,Single_Multi_Vehicle,Jurisdiction,TownName,LocationTypeName,Latitude,Longitude,Interstate_NonInterstate,RoadName,RouteNumber,RouteName,MileMarker,FunctionalClassCode,AtIntersection,SecondaryLocation,MatureDriverInvolved,MatureDriverFatalities,MatureDriverInjuries,LargeTruckInvolved,PedestrianFatalities,PedestrianInjuries,MotorcycleFatalities,MotorcycleInjuries,BicycleFatalities,BicycleInjuries,DistractedDriverFatalities,DistractedDriverInjuries,UnrestrainedInjuries,Number_Of_Fatalities,Number_Of_Injuries,Crash_UID,Is_Fatal,Is_Severe,Is_Minor,SeverityLabel
2,2024-05-16,14:20:00,Thursday,Rear End,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"Two-Way, Divided, Unprotected Median",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,No,Not at Intersection,Not Provided,Traffic Signal,Dry,Interchange Area,Main-Line Roadway,Yes - Working,No,2024,Spring,May,Daytime,Noon - 2:59pm,14,Injury Crash,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Multiple Vehicle Crashes,Manassas City,,Urban,38.76153,-77.47627,Non-Interstate,UR-4357N (CITY OF MANASSAS),8357.0,SUDLEY RD,0.94,Minor Arterial,Not at Intersection,,No,0,0,No,0,0,0,0,0,0,0,0,0,0,2,c6193090,0,1,0,Severe
2,2024-09-27,12:19:00,Friday,Angle,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"Two-Way, Not Divided",Not Provided,Rain,Straight - Level,Not Provided,No,Two Approaches,Not Provided,Traffic Lanes Marked,Wet,Intersection Area,Intersection Related - Within 150 Feet,Yes - Working,No,2024,Autumn,September,Daytime,Noon - 2:59pm,12,Injury Crash,No,No,No,No,No,No,No,No,No,No,No,No,No,Multiple Vehicle Crashes,Bedford County,,Urban,37.37345,-79.25027,Non-Interstate,US-221S,221.0,FOREST RD,143.44,Minor Arterial,At Intersection,FOREST DALE DR,Yes,0,1,No,0,0,0,0,0,0,0,0,0,0,2,c7624553,0,1,0,Severe
2,2022-01-05,18:55:00,Wednesday,Sideswipe - Opposite Direction,Roadside,"Blacktop, Asphalt, Bituminous",No Defects,Darkness,Darkness - Road Lighted,"Two-Way, Not Divided",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,No,Two Approaches,Not Provided,Traffic Lanes Marked,Wet,Intersection Area,Intersection Related - Within 150 Feet,Yes - Working,No,2022,Winter,January,Nighttime,6:00pm - 8:59pm,18,Property Damage Crash,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Multiple Vehicle Crashes,Henrico County,,Urban,37.61141,-77.62511,Non-Interstate,CR-7502W (HENRICO COUNTY),7502.0,GAYTON RD,2.01,Minor Arterial,Not at Intersection,,Yes,0,0,No,0,0,0,0,0,0,0,0,0,0,0,c8297449,0,0,1,Minor
2,2023-10-16,19:30:00,Monday,Rear End,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Darkness,Darkness - Road Lighted,"Two-Way, Divided, Positive Median Barrier",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,No,Two Approaches,Not Provided,Traffic Lanes Marked,Dry,Intersection Area,Within Intersection,No Traffic Control Device Present,No,2023,Autumn,October,Nighttime,6:00pm - 8:59pm,19,Property Damage Crash,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Multiple Vehicle Crashes,Norfolk City,,Urban,36.92284,-76.19219,Non-Interstate,US-60E,60.0,SHORE DR,286.24,Minor Arterial,At Intersection,HARBOR WALK AVE,No,0,0,No,0,0,0,0,0,0,0,0,0,0,0,c8242624,0,0,1,Minor
1,2024-10-12,17:30:00,Saturday,Fixed Object - Off Road,Roadside,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"Two-Way, Not Divided",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,No,Not at Intersection,Not Provided,No Traffic Control,Dry,Intersection Area,Non-Intersection,No Traffic Control Device Present,No,2024,Autumn,October,Daytime,3:00pm - 5:59pm,17,Injury Crash,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Single Vehicle Crashes,Smyth County,,Rural,36.85049,-81.69838,Non-Interstate,SC-617E (SMYTH COUNTY),617.0,HORSESHOE BEND RD,1.39,Local,Not at Intersection,,No,0,0,No,0,0,0,0,0,0,0,0,0,0,1,c2348069,0,0,1,Minor
2,2023-11-25,14:30:00,Saturday,Rear End,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"Two-Way, Divided, Unprotected Median",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,No,Not at Intersection,Not Provided,Traffic Signal,Dry,Interchange Area,Main-Line Roadway,Yes - Working,No,2023,Autumn,November,Daytime,Noon - 2:59pm,14,Property Damage Crash,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Multiple Vehicle Crashes,Fairfax County,,Urban,38.79958,-77.32526,Non-Interstate,VA-123N,123.0,OX RD,11.44,Other Principal Arterial,At Intersection,BURKE CENTRE PKWY,No,0,0,No,0,0,0,0,0,0,0,0,0,0,0,c4008984,0,0,1,Minor
2,2024-04-10,18:00:00,Wednesday,Rear End,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"Two-Way, Divided, Unprotected Median",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,No,Four Approaches,Not Provided,Traffic Lanes Marked,Dry,Intersection Area,Intersection Related - Within 150 Feet,Yes - Working,No,2024,Spring,April,Nighttime,6:00pm - 8:59pm,18,Injury Crash,No,No,No,No,No,No,No,No,No,No,No,No,No,Multiple Vehicle Crashes,Fredericksburg City,,Urban,38.28977,-77.4686,Non-Interstate,VA-3E,3.0,BLUE AND GRAY PKWY,34.13,Other Principal Arterial,At Intersection,SUMMIT ST,No,0,0,No,0,0,0,0,0,0,0,0,0,0,2,c5046071,0,1,0,Severe
3,2023-02-16,16:10:00,Thursday,Rear End,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"Two-Way, Divided, Unprotected Median",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,No,Four Approaches,Not Provided,Traffic Signal,Dry,Intersection Area,Intersection Related - Within 150 Feet,Yes - Working,No,2023,Winter,February,Daytime,3:00pm - 5:59pm,16,Injury Crash,No,No,No,No,No,No,No,No,No,No,No,No,No,Multiple Vehicle Crashes,Newport News City,,Urban,37.08077,-76.47897,Non-Interstate,VA-143N,143.0,JEFFERSON AVE,15.91,Other Principal Arterial,At Intersection,PILOT HOUSE DR,Yes,0,1,No,0,0,0,0,0,0,0,0,0,0,1,c9422736,0,0,1,Minor
2,2023-08-01,17:45:00,Tuesday,Angle,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"One-Way, Not Divided",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,No,Three Approaches,Not Provided,Traffic Signal,Dry,Intersection Area,Within Intersection,Yes - Working,No,2023,Summer,August,Daytime,3:00pm - 5:59pm,17,Property Damage Crash,No,No,No,No,No,No,No,No,No,No,No,No,No,Multiple Vehicle Crashes,Harrisonburg City,,Urban,38.45341,-78.86758,Non-Interstate,US-11N,11.0,MAIN ST,263.13,Minor Arterial,At Intersection,GAY ST,Yes,0,0,No,0,0,0,0,0,0,0,0,0,0,0,c6864232,0,0,1,Minor
1,2022-05-05,01:35:00,Thursday,Fixed Object - Off Road,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Darkness,Darkness - Road Lighted,"Two-Way, Not Divided",Not Provided,No Adverse Condition (Clear/Cloud),Curve - Level,Not Provided,No,Not at Intersection,Not Provided,No Traffic Control,Dry,Interchange Area,Main-Line Roadway,No Traffic Control Device Present,No,2022,Spring,May,Nighttime,Midnight - 2:59am,1,Injury Crash,No,No,No,No,No,No,No,No,No,No,No,No,No,Single Vehicle Crashes,Danville City,,Urban,36.58577,-79.36366,Non-Interstate,EASTWOOD DR (NP - CITY OF DANVILLE),,EASTWOOD DR,0.02,Local,Not at Intersection,,No,0,0,No,0,0,0,0,0,0,0,0,0,0,1,c3325251,0,0,1,Minor
1,2023-10-20,09:50:00,Friday,Fixed Object - Off Road,Outside Right-of-Way,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"Two-Way, Divided, Positive Median Barrier",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,No,Four Approaches,Not Provided,Traffic Lanes Marked,Dry,Other Location,"Driveway, Alley-Access - Related",Yes - Working,No,2023,Autumn,October,Daytime,9:00am - 11:59am,9,Injury Crash,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Single Vehicle Crashes,Colonial Heights City,,Urban,37.26865,-77.39815,Non-Interstate,DUNLOP FARMS BLVD (PR - CITY OF COLONIAL HEIGHTS),,DUNLOP FARMS BLVD,0.25,Local,At Intersection,OLD OAK LN,No,0,0,No,0,0,0,0,0,0,0,0,0,0,1,c4778629,0,0,1,Minor
1,2022-12-10,01:45:00,Saturday,Other,Roadside,"Blacktop, Asphalt, Bituminous",No Defects,Darkness,Darkness - Road Not Lighted,"Two-Way, Divided, Unprotected Median",Not Provided,No Adverse Condition (Clear/Cloud),Grade - Curve,Not Provided,No,"Five-Point, or More",Not Provided,Traffic Lanes Marked,Dry,Intersection Area,Intersection Related - Within 150 Feet,Yes - Working,No,2022,Winter,December,Nighttime,Midnight - 2:59am,1,Property Damage Crash,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Single Vehicle Crashes,Prince William County,,Urban,38.73306,-77.54575,Non-Interstate,VA-28S,28.0,NOKESVILLE RD,18.97,Minor Arterial,At Intersection,LINTON HALL RD,No,0,0,No,0,0,0,0,0,0,0,0,0,0,0,c7228941,0,0,1,Minor
2,2022-03-21,10:24:00,Monday,Rear End,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"Two-Way, Divided, Unprotected Median",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,No,Three Approaches,Not Provided,Traffic Signal,Dry,Intersection Area,Within Intersection,Yes - Working,No,2022,Spring,March,Daytime,9:00am - 11:59am,10,Injury Crash,No,No,No,No,No,No,No,No,No,No,No,No,No,Multiple Vehicle Crashes,Chesapeake City,,Urban,36.79026,-76.33065,Non-Interstate,US-17N,17.0,GEORGE WASHINGTON HWY,24.65,Other Principal Arterial,At Intersection,WINTERGREEN DR,No,0,0,No,0,0,0,0,0,0,0,0,0,0,2,c8132569,0,1,0,Severe
1,2022-10-29,21:00:00,Saturday,Deer,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Darkness,Darkness - Road Not Lighted,"Two-Way, Not Divided",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,No,Not at Intersection,Not Provided,No Passing Lines,Dry,Intersection Area,Non-Intersection,Yes - Working,No,2022,Autumn,October,Nighttime,9:00pm - 11:59pm,21,Property Damage Crash,No,No,No,No,No,No,No,No,No,No,No,No,No,Single Vehicle Crashes,Bedford County,,Rural,37.37815,-79.37084,Non-Interstate,,221.0,FOREST RD,,Minor Arterial,Not at Intersection,,No,0,0,No,0,0,0,0,0,0,0,0,0,0,0,c0520276,0,0,1,Minor
1,2023-10-08,23:35:00,Sunday,Deer,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Darkness,Darkness - Road Not Lighted,"Two-Way, Not Divided",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,No,Not at Intersection,Not Provided,Traffic Lanes Marked,Dry,Intersection Area,Non-Intersection,Yes - Working,No,2023,Autumn,October,Nighttime,9:00pm - 11:59pm,23,Property Damage Crash,No,No,No,No,No,No,No,No,No,No,No,No,No,Single Vehicle Crashes,Suffolk City,,Rural,36.62672,-76.65553,Non-Interstate,US-13N,13.0,WHALEYVILLE BLVD,8.56,Other Principal Arterial,Not at Intersection,,No,0,0,No,0,0,0,0,0,0,0,0,0,0,0,c0081306,0,0,1,Minor
2,2024-06-04,18:43:00,Tuesday,Rear End,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"Two-Way, Divided, Positive Median Barrier",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,No,Three Approaches,Not Provided,Traffic Signal,Dry,Intersection Area,Within Intersection,Yes - Working,No,2024,Summer,June,Nighttime,6:00pm - 8:59pm,18,Injury Crash,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Multiple Vehicle Crashes,James City County,,Urban,37.32196,-76.73651,Non-Interstate,US-60E,60.0,RICHMOND RD,235.85,Other Principal Arterial,Not at Intersection,ACCESS,No,0,0,No,0,0,0,0,0,0,0,1,0,0,3,c4806784,0,1,0,Severe
2,2023-12-14,07:27:00,Thursday,Rear End,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"Two-Way, Divided, Unprotected Median",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,No,Not at Intersection,Not Provided,No Traffic Control,Dry,Interchange Area,Main-Line Roadway,No Traffic Control Device Present,No,2023,Winter,December,Daytime,6:00am - 8:59am,7,Property Damage Crash,No,No,No,No,No,No,No,No,No,No,No,No,No,Multiple Vehicle Crashes,Fairfax County,,Urban,38.78315,-77.32775,Non-Interstate,VA-123S,123.0,OX RD,10.34,Other Principal Arterial,Not at Intersection,,No,0,0,No,0,0,0,0,0,0,0,0,0,0,0,c3948773,0,0,1,Minor
2,2023-07-03,17:44:00,Monday,Rear End,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"Two-Way, Not Divided",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,No,Not at Intersection,Not Provided,Traffic Lanes Marked,Dry,Intersection Area,Non-Intersection,Yes - Working,No,2023,Summer,July,Daytime,3:00pm - 5:59pm,17,Property Damage Crash,No,No,No,No,No,No,No,No,No,No,No,No,No,Multiple Vehicle Crashes,Loudoun County,,Rural,39.2184,-77.74426,Non-Interstate,VA-9W,9.0,CHARLES TOWN PIKE,3.19,Minor Arterial,Not at Intersection,,No,0,0,No,0,0,0,0,0,0,0,0,0,0,0,c7476431,0,0,1,Minor
2,2024-03-06,19:05:00,Wednesday,Angle,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"Two-Way, Divided, Unprotected Median",Not Provided,Rain,Straight - Level,Not Provided,No,Four Approaches,Not Provided,Traffic Signal,Wet,Intersection Area,Within Intersection,Yes - Working,No,2024,Spring,March,Nighttime,6:00pm - 8:59pm,19,Property Damage Crash,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Multiple Vehicle Crashes,Prince William County,,Urban,38.8211,-77.6355,Non-Interstate,US-15N,15.0,JAMES MADISON HWY,196.2,Other Principal Arterial,At Intersection,HEATHCOTE BLVD,No,0,0,No,0,0,0,0,0,0,0,0,0,0,0,c1628377,0,0,1,Minor
1,2022-06-28,13:30:00,Tuesday,Fixed Object - Off Road,Roadside,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"Two-Way, Not Divided",Not Provided,No Adverse Condition (Clear/Cloud),Curve - Level,Not Provided,No,Not at Intersection,Not Provided,No Traffic Control,Dry,Intersection Area,Non-Intersection,No Traffic Control Device Present,No,2022,Summer,June,Daytime,Noon - 2:59pm,13,Injury Crash,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Single Vehicle Crashes,Rockingham County,,Rural,38.41492,-79.06778,Non-Interstate,SC-755S (ROCKINGHAM COUNTY),750.0,NAZARENE CHURCH RD,1.77,Minor Collector,Not at Intersection,,No,0,0,No,0,0,0,1,0,0,0,0,0,0,1,c0149761,0,0,1,Minor
2,2024-11-30,19:25:00,Saturday,Sideswipe - Same Direction,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Darkness,Darkness - Road Not Lighted,"Two-Way, Divided, Unprotected Median",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,No,Not at Intersection,Not Provided,Traffic Lanes Marked,Dry,Intersection Area,Non-Intersection,Yes - Working,No,2024,Autumn,November,Nighttime,6:00pm - 8:59pm,19,Injury Crash,No,No,No,No,No,No,No,No,No,No,No,No,No,Multiple Vehicle Crashes,Fauquier County,,Rural,38.6206,-77.80069,Non-Interstate,US-15S,15.0,JAMES MADISON HWAY,177.73,Other Principal Arterial,At Intersection,MARSH RD,No,0,0,No,0,0,0,0,0,0,0,0,0,0,1,c6017393,0,0,1,Minor
1,2022-06-23,20:08:00,Thursday,Other,Shoulder,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"Two-Way, Not Divided",Not Provided,No Adverse Condition (Clear/Cloud),Curve - Level,Not Provided,No,Not at Intersection,Not Provided,Traffic Lanes Marked,Dry,Intersection Area,Non-Intersection,Yes - Working,No,2022,Summer,June,Nighttime,6:00pm - 8:59pm,20,Injury Crash,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Single Vehicle Crashes,Loudoun County,,Urban,39.05804,-77.38684,Non-Interstate,SC-1794E (LOUDOUN COUNTY),1794.0,FAIRWAY DR,3.11,Local,Not at Intersection,,No,0,0,No,0,0,0,0,0,0,0,0,0,0,2,c8142781,0,1,0,Severe
2,2022-03-28,21:44:00,Monday,Angle,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Darkness,Darkness - Road Lighted,"Two-Way, Divided, Unprotected Median",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,No,Four Approaches,Not Provided,Traffic Signal,Dry,Intersection Area,Within Intersection,Yes - Working,No,2022,Spring,March,Nighttime,9:00pm - 11:59pm,21,Injury Crash,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Multiple Vehicle Crashes,Chesapeake City,,Urban,36.73709,-76.23255,Non-Interstate,VA-190E,190.0,KEMPSVILLE RD,4.23,Minor Arterial,At Intersection,CLEARFIELD AVE,No,0,0,No,0,0,0,0,0,0,0,0,0,0,1,c6681791,0,0,1,Minor
2,2022-02-18,07:02:00,Friday,Rear End,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"Two-Way, Divided, Positive Median Barrier",Not Provided,Rain,Straight - Level,Not Provided,No,Four Approaches,Not Provided,Traffic Lanes Marked,Wet,Intersection Area,Intersection Related - Within 150 Feet,Yes - Working,No,2022,Winter,February,Daytime,6:00am - 8:59am,7,Injury Crash,No,No,No,No,No,No,No,No,No,No,No,No,No,Multiple Vehicle Crashes,Va. Beach City,,Urban,36.79225,-76.16379,Non-Interstate,UR-8693N (CITY OF VIRGINIA BEACH),8693.0,INDIAN LAKES BLVD,0.18,Minor Arterial,At Intersection,HALIFAX DR,No,0,0,No,0,0,0,0,0,0,0,0,0,0,1,c6085410,0,0,1,Minor
2,2022-07-14,21:56:00,Thursday,Angle,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Darkness,Darkness - Road Not Lighted,"Two-Way, Not Divided",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,No,Four Approaches,Not Provided,Traffic Signal,Dry,Intersection Area,Within Intersection,Yes - Working,No,2022,Summer,July,Nighttime,9:00pm - 11:59pm,21,Injury Crash,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Multiple Vehicle Crashes,Hanover County,,Urban,37.65081,-77.39944,Non-Interstate,US-301N,301.0,CHAMBERLAYNE RD,84.11,Minor Arterial,At Intersection,ATLEE RD,No,0,0,No,0,0,0,0,0,0,0,1,0,0,5,c0247541,0,1,0,Severe
3,2023-06-03,16:02:00,Saturday,Angle,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"Two-Way, Not Divided",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,No,Four Approaches,Not Provided,Stop Sign,Dry,Intersection Area,Within Intersection,Yes - Working,No,2023,Summer,June,Daytime,3:00pm - 5:59pm,16,Property Damage Crash,No,No,No,No,No,No,No,No,No,No,No,No,No,Multiple Vehicle Crashes,Fredericksburg City,,Urban,38.31671,-77.47323,Non-Interstate,US-1S,1.0,EMANCIPATION HWY,148.41,Other Principal Arterial,At Intersection,CHARLES ST,No,0,0,No,0,0,0,0,0,0,0,0,0,0,0,c3321710,0,0,1,Minor
1,2022-03-12,08:16:00,Saturday,Fixed Object - Off Road,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"Two-Way, Divided, Positive Median Barrier",Not Provided,Snow,Straight - Level,Not Provided,No,Not at Intersection,Not Provided,Traffic Lanes Marked,Snowy,Intersection Area,Non-Intersection,Yes - Working,No,2022,Spring,March,Daytime,6:00am - 8:59am,8,Injury Crash,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Single Vehicle Crashes,Fairfax County,,Urban,38.83832,-77.21914,Interstate,I-495S,495.0,I-495,5.7,Interstate,Not at Intersection,,No,0,0,No,0,0,0,0,0,0,0,0,0,0,1,c4023109,0,0,1,Minor
1,2024-12-22,03:43:00,Sunday,Deer,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Darkness,Darkness - Road Not Lighted,"Two-Way, Not Divided",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,No,Not at Intersection,Not Provided,Traffic Lanes Marked,Dry,Interchange Area,Main-Line Roadway,No Traffic Control Device Present,No,2024,Winter,December,Nighttime,3:00am - 5:59am,3,Property Damage Crash,No,No,No,No,No,No,No,No,No,No,No,No,No,Single Vehicle Crashes,Spotsylvania County,,Urban,38.24148,-77.60882,Non-Interstate,SC-627N (SPOTSYLVANIA COUNTY),627.0,GORDON RD,1.51,Major Collector,Not at Intersection,,No,0,0,No,0,0,0,0,0,0,0,0,0,0,0,c0291714,0,0,1,Minor
3,2024-05-11,21:10:00,Saturday,Rear End,On Roadway,"Blacktop, Asphalt, Bituminous",Slick Pavement,Darkness,Darkness - Road Not Lighted,"Two-Way, Divided, Positive Median Barrier",Not Provided,Rain,Straight - Level,Not Provided,No,Not at Intersection,Not Provided,Traffic Signal,Wet,Intersection Area,Non-Intersection,Yes - Working,No,2024,Spring,May,Nighttime,9:00pm - 11:59pm,21,Property Damage Crash,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Multiple Vehicle Crashes,Loudoun County,,Rural,38.95185,-77.51638,Non-Interstate,SC-606E (LOUDOUN COUNTY),606.0,LOUDOUN COUNTY PKWY,3.64,Minor Arterial,At Intersection,OLD OX RD,No,0,0,No,0,0,0,0,0,0,0,0,0,0,0,c2970899,0,0,1,Minor
2,2024-03-23,10:10:00,Saturday,Angle,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"Two-Way, Divided, Unprotected Median",Not Provided,Rain,Straight - Level,Not Provided,No,Four Approaches,Not Provided,Traffic Signal,Wet,Intersection Area,Intersection Related - Within 150 Feet,Yes - Working,No,2024,Spring,March,Daytime,9:00am - 11:59am,10,Property Damage Crash,No,No,No,No,No,No,No,No,No,No,No,No,No,Multiple Vehicle Crashes,Chesterfield County,,Urban,37.49772,-77.5448,Non-Interstate,US-60W,60.0,MIDLOTHIAN TPKE,183.27,Other Principal Arterial,At Intersection,BUFORD RD,Yes,0,0,No,0,0,0,0,0,0,0,0,0,0,0,c2949725,0,0,1,Minor
2,2024-07-08,19:35:00,Monday,Rear End,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Dusk,Dusk,"Two-Way, Divided, Positive Median Barrier",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,No,Four Approaches,Not Provided,Traffic Signal,Dry,Intersection Area,Within Intersection,Yes - Working,No,2024,Summer,July,Nighttime,6:00pm - 8:59pm,19,Injury Crash,No,No,No,No,No,No,No,No,No,No,No,No,No,Multiple Vehicle Crashes,Fairfax County,,Urban,38.81818,-77.14277,Non-Interstate,VA-236W,236.0,LITTLE RIVER TPIKE,10.18,Other Principal Arterial,At Intersection,BEAUREGARD ST,Yes,0,1,No,0,0,0,0,0,0,0,0,0,0,1,c1185601,0,0,1,Minor
3,2022-06-19,21:50:00,Sunday,Rear End,On Roadway,Concrete,No Defects,Darkness,Darkness - Road Lighted,"Two-Way, Divided, Positive Median Barrier",Activity Area,No Adverse Condition (Clear/Cloud),Straight - Level,With No Law Enforcement,No,Not at Intersection,Lane Closure,Traffic Lanes Marked,Dry,Intersection Area,Non-Intersection,Yes - Working,Yes,2022,Summer,June,Nighttime,9:00pm - 11:59pm,21,Property Damage Crash,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Multiple Vehicle Crashes,Newport News City,,Urban,36.97096,-76.41795,Interstate,I-664S,664.0,I-664,5.58,Interstate,Not at Intersection,,No,0,0,No,0,0,0,0,0,0,0,0,0,0,0,c8137241,0,0,1,Minor
2,2024-08-21,12:45:00,Wednesday,Angle,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"Two-Way, Not Divided",Not Provided,No Adverse Condition (Clear/Cloud),Hillcrest - Straight,Not Provided,No,Not at Intersection,Not Provided,Traffic Lanes Marked,Dry,Intersection Area,Non-Intersection,Yes - Working,No,2024,Summer,August,Daytime,Noon - 2:59pm,12,Injury Crash,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Multiple Vehicle Crashes,Roanoke County,,Urban,37.20556,-79.95661,Non-Interstate,SC-679W (ROANOKE COUNTY),679.0,BUCK MOUNTAIN RD,2.0,Major Collector,Not at Intersection,,No,0,0,No,0,0,0,0,0,0,0,1,0,0,2,c2373994,0,1,0,Severe
2,2024-07-16,17:43:00,Tuesday,Rear End,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"Two-Way, Divided, Positive Median Barrier",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,No,Not at Intersection,Not Provided,Traffic Lanes Marked,Dry,Interchange Area,On Entrance/Exit Ramp,Yes - Working,No,2024,Summer,July,Daytime,3:00pm - 5:59pm,17,Property Damage Crash,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Multiple Vehicle Crashes,Richmond City,,Urban,37.58785,-77.47401,Interstate,I-64W,64.0,I-64,187.13,Interstate,Not at Intersection,,Yes,0,0,No,0,0,0,0,0,0,0,0,0,0,0,c8220276,0,0,1,Minor
